Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.55,-.39,-.27,-.37,-.11,-.23,-.24,-.25,-.28,-.33,-.38,-.50,-.33,***,***,-.25,-.24,-.33
1881,-.20,-.26,.01,-.03,-.06,-.37,-.07,-.03,-.24,-.41,-.43,-.29,-.20,-.22,-.32,-.03,-.16,-.36
1882,.22,.22,.00,-.36,-.32,-.38,-.37,-.14,-.17,-.53,-.33,-.42,-.22,-.21,.05,-.23,-.30,-.35
1883,-.60,-.69,-.16,-.28,-.33,-.26,-.10,-.27,-.34,-.22,-.41,-.26,-.33,-.34,-.57,-.26,-.21,-.32
1884,-.23,-.12,-.66,-.63,-.42,-.52,-.48,-.51,-.45,-.41,-.48,-.39,-.44,-.43,-.21,-.57,-.51,-.45
1885,-1.00,-.37,-.21,-.53,-.56,-.48,-.38,-.45,-.32,-.30,-.29,.00,-.41,-.44,-.59,-.43,-.43,-.30
1886,-.68,-.68,-.57,-.34,-.35,-.43,-.20,-.47,-.35,-.32,-.45,-.17,-.42,-.40,-.45,-.42,-.37,-.37
1887,-1.07,-.59,-.36,-.42,-.27,-.20,-.23,-.52,-.17,-.40,-.20,-.44,-.41,-.38,-.61,-.35,-.32,-.26
1888,-.53,-.60,-.58,-.24,-.16,-.06,.02,-.21,-.14,.02,-.04,-.27,-.23,-.25,-.52,-.33,-.08,-.05
1889,-.32,.33,.05,.13,-.06,-.14,-.11,-.18,-.27,-.36,-.62,-.57,-.18,-.15,-.09,.04,-.14,-.42
1890,-.66,-.57,-.45,-.37,-.50,-.21,-.25,-.39,-.42,-.09,-.71,-.46,-.42,-.43,-.60,-.44,-.28,-.40
1891,-.61,-.74,-.14,-.34,-.23,-.17,-.15,-.10,-.05,-.28,-.58,-.04,-.29,-.32,-.60,-.24,-.14,-.30
1892,-.47,-.17,-.58,-.49,-.29,-.13,-.40,-.30,-.15,-.24,-.82,-.67,-.39,-.34,-.23,-.45,-.28,-.40
1893,-1.49,-.91,-.30,-.31,-.45,-.23,-.15,-.35,-.24,-.24,-.27,-.66,-.47,-.47,-1.02,-.35,-.24,-.25
1894,-.88,-.45,-.22,-.61,-.35,-.49,-.25,-.23,-.28,-.26,-.49,-.33,-.40,-.43,-.66,-.39,-.32,-.34
1895,-.74,-.78,-.39,-.24,-.31,-.26,-.19,-.26,.01,-.05,-.06,-.25,-.30,-.30,-.62,-.32,-.24,-.04
1896,-.45,-.23,-.50,-.61,-.23,.00,-.04,-.08,-.06,.13,-.26,-.20,-.21,-.21,-.31,-.45,-.04,-.07
