Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.04,.02,.04,-.03,-.14,-.25,-.19,.05,-.06,-.16,-.04,.03,-.07,***,***,-.04,-.13,-.09
1881,-.12,-.10,.05,.09,.08,-.06,-.08,-.03,-.06,-.04,-.03,.05,-.02,-.02,-.07,.07,-.06,-.04
1882,.05,.06,.06,-.03,-.01,-.15,-.05,.02,-.04,.00,-.02,-.09,-.02,.00,.06,.01,-.06,-.02
1883,-.05,-.12,-.10,-.08,-.09,-.01,-.07,-.05,-.09,-.08,-.06,-.07,-.07,-.07,-.09,-.09,-.05,-.08
1884,-.09,-.06,-.11,-.24,-.33,-.31,-.23,-.05,-.12,-.10,-.14,-.19,-.16,-.15,-.07,-.23,-.20,-.12
1885,-.21,-.25,-.31,-.34,-.31,-.43,-.34,-.21,-.18,-.12,-.14,-.12,-.25,-.25,-.22,-.32,-.33,-.15
1886,-.19,-.25,-.22,-.23,-.19,-.36,-.25,-.23,-.18,-.27,-.19,-.36,-.24,-.22,-.19,-.21,-.28,-.22
1887,-.41,-.48,-.32,-.36,-.38,-.28,-.25,-.14,-.28,-.26,-.29,-.25,-.31,-.32,-.41,-.35,-.22,-.28
1888,-.24,-.14,-.26,-.22,-.30,-.33,-.23,-.13,-.08,-.01,.04,.12,-.15,-.18,-.21,-.26,-.23,-.02
1889,.06,.01,.08,-.01,-.01,-.15,-.11,-.24,-.18,-.13,-.07,-.06,-.07,-.05,.06,.02,-.17,-.13
1890,-.25,-.35,-.37,-.39,-.44,-.34,-.31,-.39,-.40,-.42,-.29,-.21,-.35,-.33,-.22,-.40,-.35,-.37
1891,-.26,-.28,-.26,-.25,-.17,-.27,-.29,-.25,-.27,-.19,-.16,-.08,-.23,-.24,-.25,-.23,-.27,-.21
1892,-.12,-.09,-.16,-.23,-.23,-.37,-.28,-.23,-.14,-.05,-.05,-.15,-.17,-.17,-.10,-.21,-.29,-.08
1893,-.15,-.21,-.19,-.31,-.30,-.36,-.21,-.22,-.20,-.12,-.09,-.08,-.20,-.21,-.17,-.27,-.26,-.14
1894,-.22,-.24,-.30,-.38,-.37,-.41,-.28,-.23,-.24,-.19,-.05,-.10,-.25,-.25,-.18,-.35,-.31,-.16
1895,-.18,-.10,-.20,-.27,-.25,-.24,-.18,-.08,-.20,-.13,-.24,-.08,-.18,-.18,-.13,-.24,-.17,-.19
1896,-.09,-.09,-.04,-.02,-.16,-.30,-.06,-.03,-.03,.08,.08,.10,-.05,-.06,-.09,-.08,-.13,.04
1897,.06,.03,.09,.00,-.17,-.20,-.14,-.14,-.13,-.13,-.14,-.12,-.08,-.06,.06,-.03,-.16,-.13
1898,-.10,-.16,-.28,-.37,-.34,-.31,-.35,-.36,-.28,-.34,-.32,-.25,-.29,-.28,-.13,-.33,-.34,-.31
1899,-.26,-.15,-.17,-.22,-.22,-.29,-.17,-.12,-.06,-.17,-.14,-.11,-.17,-.18,-.22,-.20,-.19,-.12
1900,-.16,-.01,-.10,-.12,-.18,-.12,-.12,-.13,-.11,-.07,-.04,-.13,-.11,-.10,-.09,-.13,-.12,-.07
1901,-.12,-.15,-.18,-.19,-.21,-.29,-.32,-.28,-.20,-.32,-.15,-.18,-.22,-.21,-.13,-.19,-.30,-.22
