Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.20,-.33,-.07,-.41,-.17,-.02,-1.05,-.51,-.26,-.21,-.14,-.05,.05,.65
1881,-.11,-.20,-.02,-.34,.05,-.08,-.93,-.50,-.15,.03,.06,-.07,-.07,.57
1882,-.12,-.22,-.02,-.30,-.08,.02,-1.51,-.29,-.09,-.09,-.07,.02,.04,.60
1883,-.20,-.33,-.07,-.38,-.21,.00,-.40,-.62,-.22,-.24,-.19,-.02,.07,.48
1884,-.30,-.44,-.16,-.58,-.21,-.14,-1.36,-.62,-.41,-.23,-.20,-.19,-.02,.63
1885,-.32,-.41,-.25,-.60,-.16,-.26,-1.19,-.68,-.42,-.09,-.23,-.31,-.15,.80
1886,-.33,-.42,-.24,-.52,-.26,-.23,-1.26,-.49,-.40,-.25,-.27,-.22,-.20,.57
1887,-.36,-.41,-.31,-.46,-.33,-.28,-1.57,-.47,-.26,-.31,-.35,-.29,-.26,.30
1888,-.19,-.23,-.15,-.42,.06,-.30,-1.50,-.42,-.21,.06,.06,-.33,-.23,.14
1889,-.12,-.18,-.07,-.28,.04,-.17,-.90,-.19,-.21,-.01,.08,-.17,-.15,.43
1890,-.38,-.42,-.35,-.47,-.43,-.23,-1.34,-.54,-.26,-.34,-.52,-.19,-.28,.13
1891,-.25,-.29,-.23,-.44,-.14,-.22,-1.38,-.32,-.33,-.04,-.24,-.19,-.24,-.18
1892,-.28,-.39,-.17,-.43,-.32,-.09,-1.41,-.61,-.12,-.34,-.30,.01,-.22,.07
1893,-.33,-.47,-.20,-.49,-.40,-.08,-.99,-.53,-.36,-.42,-.38,.02,-.21,-.06
1894,-.33,-.40,-.25,-.35,-.37,-.25,-1.44,-.28,-.12,-.49,-.25,-.17,-.35,-.40
1895,-.24,-.30,-.18,-.39,-.10,-.27,-1.00,-.45,-.20,-.14,-.06,-.22,-.32,-.61
1896,-.13,-.21,-.05,-.38,.08,-.16,-1.32,-.35,-.16,.05,.11,-.16,-.14,.23
1897,-.13,-.18,-.08,-.35,.12,-.25,-.83,-.39,-.21,.10,.15,-.22,-.28,.38
1898,-.29,-.30,-.29,-.33,-.28,-.27,-1.28,-.16,-.20,-.24,-.31,-.29,-.21,.35
1899,-.20,-.22,-.17,-.23,-.17,-.20,-1.17,-.01,-.13,-.20,-.14,-.18,-.22,.56
1900,-.10,-.09,-.11,-.19,.12,-.31,-.69,-.08,-.14,.07,.17,-.31,-.29,.25
1901,-.16,-.11,-.22,-.13,-.08,-.31,-.57,-.03,-.07,-.07,-.08,-.29,-.34,.24
1902,-.30,-.33,-.27,-.49,-.11,-.36,-1.51,-.41,-.27,-.08,-.14,-.30,-.43,-.07
1903,-.39,-.38,-.41,-.44,-.34,-.40,-.41,-.38,-.49,-.27,-.42,-.38,-.40,-.47
1904,-.50,-.50,-.50,-.50,-.53,-.45,-.31,-.56,-.52,-.48,-.58,-.39,-.49,-1.29
1905,-.30,-.32,-.27,-.41,-.16,-.37,-.26,-.19,-.59,-.18,-.14,-.35,-.37,-.31
1906,-.24,-.24,-.24,-.24,-.23,-.24,-.48,-.01,-.34,-.23,-.23,-.22,-.23,-.69
1907,-.41,-.48,-.33,-.59,-.35,-.30,-.82,-.71,-.46,-.32,-.38,-.23,-.37,-1.18
1908,-.45,-.47,-.43,-.49,-.48,-.36,-.52,-.52,-.47,-.44,-.52,-.29,-.48,.70
1909,-.49,-.48,-.50,-.50,-.51,-.45,-.88,-.52,-.40,-.46,-.56,-.38,-.52,-.54
1910,-.44,-.44,-.45,-.39,-.53,-.38,-.74,-.16,-.45,-.51,-.54,-.33,-.45,.18
1911,-.43,-.40,-.47,-.38,-.44,-.47,-.30,-.37,-.42,-.42,-.47,-.43,-.52,.07
1912,-.37,-.47,-.26,-.60,-.20,-.36,-.72,-.73,-.48,-.28,-.13,-.36,-.29,-1.61
1913,-.36,-.44,-.28,-.43,-.33,-.34,-.74,-.27,-.46,-.46,-.20,-.28,-.40,-1.01
1914,-.17,-.21,-.12,-.26,-.09,-.18,-.66,-.09,-.26,-.13,-.05,-.16,-.18,-.34
1915,-.13,-.12,-.14,-.20,-.02,-.22,-.67,-.08,-.15,.00,-.04,-.15,-.23,-1.96
1916,-.34,-.37,-.31,-.31,-.45,-.22,-.40,-.44,-.20,-.47,-.43,-.22,-.17,-1.02
1917,-.45,-.55,-.36,-.43,-.66,-.18,-.73,-.38,-.38,-.73,-.59,-.23,-.09,.09
1918,-.29,-.38,-.21,-.39,-.34,-.14,-1.27,-.17,-.29,-.36,-.32,-.06,-.22,-.26
1919,-.28,-.35,-.21,-.42,-.22,-.22,-.93,-.45,-.27,-.24,-.19,-.15,-.32,.22
1920,-.27,-.27,-.26,-.20,-.28,-.32,-.07,-.07,-.31,-.38,-.17,-.19,-.48,-1.12
1921,-.19,-.09,-.29,.04,-.27,-.31,-.11,.26,-.06,-.28,-.25,-.24,-.38,-.81
1922,-.28,-.25,-.31,-.21,-.33,-.28,-.46,-.30,-.09,-.32,-.34,-.25,-.28,-.25
1923,-.25,-.19,-.31,-.11,-.29,-.34,.07,-.04,-.22,-.31,-.28,-.27,-.41,-.52
1924,-.26,-.16,-.36,-.11,-.26,-.43,.22,-.16,-.17,-.25,-.27,-.39,-.46,-.51
1925,-.22,-.12,-.32,-.01,-.25,-.38,-.22,.26,-.13,-.27,-.24,-.25,-.55,-.84
1926,-.10,.03,-.22,.04,.02,-.41,.42,.26,-.19,.01,.03,-.36,-.45,-.61
1927,-.21,-.11,-.31,-.11,-.16,-.39,-.11,-.13,-.11,-.11,-.20,-.32,-.45,-1.36
1928,-.20,-.09,-.31,-.05,-.16,-.40,.53,-.08,-.20,-.14,-.19,-.30,-.48,-2.10
1929,-.36,-.31,-.39,-.35,-.28,-.45,-.04,-.52,-.34,-.26,-.31,-.43,-.44,-1.05
1930,-.15,.00,-.30,.07,-.12,-.43,.38,.16,-.07,-.10,-.14,-.34,-.47,-2.57
1931,-.11,.04,-.23,.02,.04,-.42,.35,.08,-.12,.07,.01,-.42,-.40,-.39
1932,-.17,-.06,-.27,.04,-.19,-.34,.18,.31,-.18,-.20,-.19,-.20,-.53,-.97
1933,-.30,-.27,-.33,-.25,-.31,-.34,-.47,-.39,-.10,-.30,-.32,-.21,-.49,-1.12
1934,-.14,-.01,-.27,.17,-.28,-.26,.59,.40,-.09,-.29,-.28,-.16,-.38,-.55
1935,-.21,-.10,-.32,-.03,-.22,-.37,.13,.06,-.13,-.19,-.25,-.30,-.42,-1.69
1936,-.16,-.04,-.28,-.03,-.16,-.30,.12,.19,-.22,-.07,-.26,-.27,-.33,-.01
1937,-.04,.11,-.20,.18,-.07,-.22,.97,.10,.01,.01,-.16,-.19,-.25,.39
1938,-.04,.12,-.20,.33,-.27,-.09,1.06,.45,.05,-.20,-.33,-.06,-.11,-.84
1939,-.03,.08,-.15,.23,-.16,-.12,.45,.34,.10,-.14,-.18,-.05,-.19,-1.58
1940,.11,.16,.07,.11,.24,-.06,.86,.05,-.07,.24,.25,.03,-.20,-.03
1941,.18,.23,.15,.02,.47,-.05,-.22,-.05,.12,.53,.40,.04,-.15,-.44
1942,.05,.10,.00,.08,.06,-.01,.24,-.01,.10,.12,.01,.06,-.05,-.88
1943,.07,.14,-.02,.32,-.11,.04,1.10,.29,.12,-.12,-.09,.08,.00,1.16
1944,.20,.26,.15,.37,.18,.07,.95,.51,.12,.11,.25,.19,-.09,-.40
1945,.08,.09,.09,.08,.16,-.02,.38,-.02,.06,.10,.23,.04,.00,-1.96
1946,-.07,.03,-.18,.07,-.06,-.24,-.19,-.01,.19,-.01,-.10,-.22,-.24,.02
